Length	GC
3606417	56.2476552212
2428349	35.2882966987
2025575	42.2335386248
357461	26.1222902638
1753277	33.5485493735
7055752	65.7636776349
1012027	31.4674410861
4171754	66.4205511639
6174401	55.8716707904
2316065	64.2358914797
5026105	50.6569600118
3481691	50.3176186514
5435743	57.2933635751
2939733	37.9833474673
1755993	34.4856727789
2105791	44.5531394141
4727126	52.2718243601
5263229	57.4157423133
190405	24.0718468528
4662871	45.0047406415
700851	26.9119969865
5191536	66.6979098286
3967831	39.061441881
5374118	57.3591982908
4106294	67.7057219965
5096586	51.6551471907
3675202	65.2557056728
1781029	38.4761842732
2171609	41.6152723626
4888773	50.9947997176
4573969	66.2999027759
4496569	47.4015632808
1665175	30.3067245184
4454432	66.828161256
4671098	50.9144316818
5309013	57.4147963096
5323210	65.6451840149
2872769	32.7509799779
1698955	38.2204943627
4079427	51.5840092248
5611374	43.3245761199
2690418	55.4677748959
4530125	47.6288181893
5471154	68.1838602971
4106394	67.7066058444
4107438	67.7057572141
8234322	41.4149580257
3070031	38.0344042129
1695638	31.4118343656
3494216	52.1592540358
5613626	67.9129318555
774998	27.4617482884
139924	28.1317000657
10341314	70.8666036057
4110002	67.6878746044
5000386	50.8184368167
2955147	32.9597816961
5395263	57.4226872721
1583173	32.4663823852
4495532	47.4007080808
2061426	35.4624420183
2562277	43.871486182
2381789	34.9979784103
5147098	44.1089911247
1059583	37.9424735957
878109	43.1512488768
2499279	32.0951762488
4817335	62.137073714
643504	25.4407121012
10145833	71.8927760786
1856368	39.081152013
2011869	46.2363603197
2280878	40.0426940853
4021944	43.8888507647
4735489	50.7640499218
1819370	38.0166761022
4581797	52.1836737856
270029	23.0234530365
2328435	52.1839347029
1664566	30.5924186845
1144377	39.8664076611
5262775	35.5615621036
902487	28.3835667439
4109522	67.7037621407
3938967	35.6290113626
1782536	29.9446967691
1775503	38.2172263297
1288492	32.561086914
4909403	68.8996808777
5287106	35.4583395907
8663821	58.3832352954
3726627	67.932905547
2303940	70.0248270354
1704176	30.7941785356
1565009	29.7354839493
4482059	65.6223400897
5175558	64.7720690213
2315202	40.3183825861
2955646	32.8607688471
3171194	51.368632761
7029352	49.472227312
5597907	35.5675076417
4965436	54.4084346269
5000473	64.2174650278
12191466	66.1424311071
4864410	52.1644557099
5373055	57.3601982485
634449	28.185244204
2172888	51.732670989
3741098	41.6401815724
4766421	64.7857795188
1522076	31.6458573685
3929789	46.4990614
3232017	63.2831758001
4780403	63.2427224232
3192235	28.3608506266
709270	31.0771638445
4804002	66.650284492
5244843	60.9307275737
2919910	32.7853940704
2198785	35.7667984819
4393047	28.0195499843
4104580	67.7099971252
4394046	68.6646430192
2952608	37.9600678451
4667283	52.168788565
4165121	43.599789778
2521574	27.1166739505
2478364	53.5029156331
2240877	42.5048318136
727623	42.9924562583
6896700	66.1786651587
