Length	GC
39921	31.9581172816
32242	34.4519570746
43200	62.3171296296
179206	40.2799013426
114180	40.2776318094
43153	38.9219752972
15556	60.111853947
157568	64.7263403737
42597	35.1808812827
71436	55.921384176
109800	61.0173041894
44536	67.1928327645
5577	45.9207459207
51371	63.899865683
23193	27.3315224421
6478	34.2698363692
29984	34.7351921025
160221	36.8765642456
44194	54.8852785446
59230	61.7862569644
7325	58.1706484642
51178	63.8985501583
167124	35.4293817764
41142	48.162461718
170286	34.78500875
41999	35.2817924236
42594	66.1454664976
43767	35.4513674686
35209	64.4210287142
60195	58.9517401778
36745	41.9839433937
194437	39.8684406774
57293	61.3355907353
59670	44.707558237
170788	35.2788252102
140807	30.2165375301
54439	48.3146273811
46619	58.6456165941
44520	52.9335130279
142349	50.1366360143
31185	39.1758858426
178182	44.867607278
43665	37.4968510248
46597	58.8127991072
61304	39.3530601592
41549	48.275530097
51008	63.4312264743
178171	43.1304757789
39847	38.1534368961
35764	42.0618499049
5577	45.8848843464
30463	34.7995929488
49330	65.4064463815
52320	63.9392201835
43378	52.5704274056
